Frequency,MTF,NPS,NPSFit,DQE
0,1,2,1,0.78
0.020496,0.975,0.099065,0.107243,0.785
0.030744,0.96,0.108132,0.10503,0.79
0.049622,0.955,0.097266,0.100314,0.795
0.125,0.95,0.097266,0.100314,0.8
0.200108,0.92,0.097443,0.098084,0.775
0.4,0.84,,,0.63
0.6,0.73,,,0.47
0.8,0.63,,,0.35
1,0.51,,,0.23
1.2,0.42,,,0.125
1.4,0.33,,,0.02
1.6,0,,,0
