Frequency,MTF,NPS,NPSFit,DQE
0.107875,0.923297,0.100347,0.098634,0.772795
0.108414,0.923215,0.098627,0.098459,0.774032
0.108954,0.923133,0.094671,0.098342,0.774814
0.109493,0.923051,0.096625,0.098288,0.775098
0.110032,0.922968,0.095239,0.098291,0.774934
0.110572,0.922885,0.103287,0.098344,0.774381
0.111111,0.922801,0.09662,0.098438,0.773499
0.11165,0.922717,0.09897,0.098567,0.77235
0.11219,0.922633,0.090257,0.098722,0.770993
0.112729,0.922549,0.104476,0.098897,0.76949
0.113269,0.922464,0.101328,0.099083,0.7679
0.113808,0.922378,0.096196,0.099274,0.766282
0.114347,0.922293,0.096122,0.099462,0.764695
0.114887,0.922207,0.107109,0.099639,0.763195
0.115426,0.92212,0.106787,0.099797,0.761838
0.115965,0.922034,0.09942,0.09993,0.760682
0.116505,0.921947,0.100146,0.100032,0.759767
0.117044,0.921859,0.092324,0.100103,0.75908
0.117584,0.921771,0.095961,0.100149,0.75859
0.118123,0.921683,0.104327,0.100173,0.758266
0.118662,0.921595,0.101173,0.100178,0.758077
0.119202,0.921506,0.099666,0.10017,0.757993
0.119741,0.921417,0.100529,0.100152,0.757985
0.12028,0.921327,0.101102,0.100128,0.758021
0.12082,0.921238,0.09684,0.100101,0.758073
0.121359,0.921148,0.10538,0.100077,0.75811
0.121899,0.921057,0.100811,0.100058,0.758102
0.122438,0.920966,0.096943,0.100049,0.758019
0.122977,0.920875,0.098017,0.100054,0.757831
0.123517,0.920783,0.10046,0.100077,0.757508
0.124056,0.920691,0.099715,0.100118,0.757051
0.124595,0.920599,0.094726,0.100172,0.756488
0.125135,0.920506,0.09952,0.100236,0.755852
0.125674,0.920413,0.099248,0.100306,0.755174
0.126214,0.92032,0.108405,0.100377,0.754485
0.126753,0.920226,0.103975,0.100445,0.753817
0.127292,0.920133,0.098578,0.100507,0.753201
0.127832,0.920038,0.100778,0.100558,0.752667
0.128371,0.919943,0.100865,0.100593,0.752246
0.12891,0.919848,0.099369,0.10061,0.751969
0.12945,0.919753,0.106832,0.100602,0.751867
0.129989,0.919657,0.099099,0.100568,0.75197
0.130529,0.919561,0.102043,0.100501,0.75231
0.131068,0.919465,0.098881,0.1004,0.752912
0.131607,0.919368,0.101502,0.100267,0.753754
0.132147,0.919271,0.096396,0.100107,0.754795
0.132686,0.919173,0.091609,0.099927,0.755993
0.133225,0.919075,0.09923,0.099733,0.757307
0.133765,0.918977,0.099346,0.099529,0.758695
0.134304,0.918879,0.093969,0.099322,0.760113
0.134844,0.91878,0.101924,0.099117,0.761518
0.135383,0.918681,0.097954,0.098921,0.762866
0.135922,0.918581,0.101667,0.098738,0.764112
0.136462,0.918481,0.101135,0.098575,0.765211
0.137001,0.918381,0.107713,0.098437,0.766116
0.13754,0.91828,0.101815,0.09833,0.766781
0.13808,0.918179,0.097929,0.09826,0.767162
0.138619,0.918078,0.097182,0.09823,0.767226
0.139159,0.917977,0.09766,0.098237,0.766996
0.139698,0.917875,0.09773,0.098278,0.766508
0.140237,0.917772,0.09995,0.098348,0.765796
0.140777,0.91767,0.101264,0.098441,0.764896
0.141316,0.917567,0.098336,0.098555,0.763843
0.141855,0.917464,0.095283,0.098684,0.762673
0.142395,0.91736,0.096262,0.098824,0.761421
0.142934,0.917256,0.09819,0.09897,0.760122
0.143474,0.917152,0.096269,0.099119,0.75881
0.144013,0.917047,0.092008,0.099265,0.757518
0.144552,0.916942,0.093945,0.099405,0.756281
0.145092,0.916836,0.096639,0.099533,0.755132
0.145631,0.916731,0.097632,0.099646,0.754103
0.14617,0.916625,0.10643,0.09974,0.753216
0.14671,0.916518,0.098745,0.099817,0.752463
0.147249,0.916412,0.101144,0.099878,0.751827
0.147789,0.916305,0.100653,0.099926,0.751294
0.148328,0.916197,0.09531,0.099961,0.75085
0.148867,0.916089,0.107577,0.099987,0.750479
0.149407,0.915981,0.108439,0.100005,0.750168
0.149946,0.915873,0.109297,0.100017,0.749902
0.150485,0.915764,0.101389,0.100024,0.749667
0.151025,0.915655,0.101283,0.10003,0.749448
0.151564,0.915546,0.099081,0.100035,0.749231
0.152104,0.915436,0.101398,0.100041,0.749002
0.152643,0.915326,0.099457,0.100051,0.748747
0.153182,0.915215,0.097186,0.100067,0.748451
0.153722,0.915105,0.091524,0.100089,0.748103
0.154261,0.914993,0.09984,0.100118,0.747706
0.1548,0.914882,0.096041,0.100153,0.747264
0.15534,0.91477,0.102756,0.100193,0.746785
0.155879,0.914658,0.098113,0.100237,0.746272
0.156419,0.914545,0.100193,0.100285,0.745732
0.156958,0.914433,0.098209,0.100336,0.745171
0.157497,0.91432,0.101675,0.100389,0.744593
0.158037,0.914206,0.093316,0.100443,0.744004
0.158576,0.914092,0.103357,0.100498,0.743409
0.159115,0.913978,0.100149,0.100554,0.742815
0.159655,0.913864,0.096902,0.100608,0.742226
0.160194,0.913749,0.10488,0.100661,0.741648
0.160734,0.913634,0.106268,0.100712,0.741085
0.161273,0.913518,0.103089,0.10076,0.740545
0.161812,0.913402,0.101968,0.100805,0.740032
0.162352,0.913287,0.103531,0.100844,0.739555
0.162891,0.91317,0.101464,0.100878,0.739121
0.16343,0.913053,0.101334,0.100904,0.738736
0.16397,0.912936,0.099875,0.100923,0.738409
0.164509,0.912819,0.102859,0.100933,0.738147
0.165049,0.912701,0.102075,0.100933,0.737957
0.165588,0.912583,0.099543,0.100922,0.737847
0.166127,0.912464,0.0976,0.100899,0.737823
0.166667,0.912345,0.099159,0.100863,0.737894
0.167206,0.912226,0.094645,0.100813,0.738067
0.167745,0.912107,0.092777,0.100748,0.73835
0.168285,0.911987,0.102355,0.100667,0.73875
0.168824,0.911867,0.109395,0.100569,0.739276
0.169364,0.911747,0.101124,0.100454,0.739923
0.169903,0.911626,0.098035,0.100327,0.740666
0.170442,0.911505,0.097537,0.100191,0.741475
0.170982,0.911384,0.105103,0.10005,0.74232
0.171521,0.911262,0.09905,0.099909,0.74317
0.17206,0.911139,0.10365,0.099772,0.743994
0.1726,0.911017,0.099383,0.099642,0.744763
0.173139,0.910894,0.097035,0.099524,0.745445
0.173679,0.910771,0.101171,0.099422,0.746008
0.174218,0.910648,0.102764,0.09934,0.746422
0.174757,0.910524,0.095738,0.099282,0.746654
0.175297,0.9104,0.100034,0.099252,0.746673
0.175836,0.910276,0.100382,0.099255,0.746448
0.176375,0.910151,0.100284,0.099294,0.745949
0.176915,0.910026,0.100572,0.099374,0.745148
0.177454,0.909901,0.098017,0.099492,0.744056
0.177994,0.909775,0.096603,0.099644,0.742718
0.178533,0.909649,0.095786,0.099823,0.74118
0.179072,0.909523,0.108665,0.100024,0.739487
0.179612,0.909397,0.102706,0.100241,0.737683
0.180151,0.90927,0.104098,0.100467,0.735813
0.18069,0.909142,0.098647,0.100698,0.733921
0.18123,0.909015,0.093938,0.100927,0.732049
0.181769,0.908887,0.096015,0.101149,0.730238
0.182309,0.908759,0.094523,0.101358,0.728529
0.182848,0.90863,0.100541,0.101547,0.726964
0.183387,0.908501,0.102763,0.101712,0.725581
0.183927,0.908372,0.105199,0.101846,0.72442
0.184466,0.908243,0.107437,0.101944,0.72352
0.185005,0.908113,0.103265,0.101999,0.722918
0.185545,0.907983,0.099886,0.102013,0.722611
0.186084,0.907852,0.099478,0.101989,0.722577
0.186624,0.907721,0.101781,0.101929,0.722795
0.187163,0.90759,0.102345,0.101836,0.723242
0.187702,0.907459,0.104282,0.101715,0.723897
0.188242,0.907327,0.108735,0.101567,0.724738
0.188781,0.907195,0.100319,0.101397,0.725744
0.18932,0.907063,0.102268,0.101207,0.726895
0.18986,0.90693,0.098168,0.101,0.728168
0.190399,0.906797,0.09902,0.10078,0.729543
0.190939,0.906664,0.102984,0.10055,0.730998
0.191478,0.90653,0.099439,0.100313,0.732509
0.192017,0.906396,0.098369,0.100072,0.734056
0.192557,0.906262,0.097175,0.099831,0.735615
0.193096,0.906127,0.106817,0.099591,0.737163
0.193635,0.905993,0.099335,0.099358,0.738677
0.194175,0.905857,0.098178,0.099133,0.740134
0.194714,0.905722,0.094528,0.098919,0.74151
0.195254,0.905586,0.101863,0.09872,0.742781
0.195793,0.90545,0.093216,0.098539,0.743925
0.196332,0.905313,0.09445,0.098378,0.744915
0.196872,0.905177,0.100085,0.098241,0.74573
0.197411,0.905039,0.100494,0.09813,0.746343
0.19795,0.904902,0.103055,0.09805,0.746731
0.19849,0.904764,0.095117,0.098002,0.746869
0.199029,0.904627,0.093006,0.097989,0.746736
0.199568,0.904488,0.098235,0.098016,0.746306
0.200108,0.90435,0.097443,0.098084,0.745559
0.200647,0.904211,0.099984,0.098197,0.744473
0.201187,0.904071,0.1006,0.098357,0.743028
0.201726,0.903932,0.102047,0.098565,0.741237
0.202265,0.903792,0.101171,0.098811,0.739156
0.202805,0.903652,0.097505,0.09909,0.736849
0.203344,0.903511,0.098311,0.099393,0.734373
0.203883,0.903371,0.097948,0.099713,0.73179
0.204423,0.903229,0.106969,0.100042,0.729155
0.204962,0.903088,0.098065,0.100373,0.726527
0.205502,0.902946,0.097139,0.100697,0.723958
0.206041,0.902804,0.100381,0.101008,0.721503
0.20658,0.902662,0.10001,0.101298,0.719214
0.20712,0.90252,0.101877,0.101558,0.71714
0.207659,0.902377,0.099562,0.101783,0.715333
0.208198,0.902233,0.098269,0.101963,0.713841
0.208738,0.90209,0.100763,0.102092,0.712714
0.209277,0.901946,0.104967,0.102161,0.712002
0.209817,0.901802,0.107067,0.102166,0.711745
0.210356,0.901657,0.100984,0.102109,0.711914
0.210895,0.901513,0.105584,0.101998,0.712454
0.211435,0.901368,0.098655,0.101843,0.71331
0.211974,0.901222,0.101697,0.101651,0.714427
0.212513,0.901077,0.104131,0.10143,0.715751
0.213053,0.900931,0.104403,0.101189,0.717227
0.213592,0.900784,0.106951,0.100935,0.718798
0.214132,0.900638,0.092349,0.100677,0.720408
0.214671,0.900491,0.096289,0.100422,0.722
0.21521,0.900344,0.100207,0.100179,0.723514
0.21575,0.900197,0.099593,0.099956,0.72489
0.216289,0.900049,0.098016,0.099761,0.726067
0.216828,0.899901,0.100728,0.099603,0.726985
0.217368,0.899753,0.097791,0.099488,0.727581
0.217907,0.899604,0.10279,0.099426,0.727793
0.218447,0.899455,0.098468,0.099422,0.727588
0.218986,0.899306,0.100915,0.099468,0.727005
0.219525,0.899156,0.100274,0.099559,0.7261
0.220065,0.899006,0.097943,0.099687,0.724929
0.220604,0.898856,0.09536,0.099843,0.72355
0.221143,0.898706,0.103376,0.100022,0.722018
0.221683,0.898555,0.099803,0.100214,0.720388
0.222222,0.898404,0.105656,0.100414,0.718715
0.222762,0.898253,0.101787,0.100613,0.717053
0.223301,0.898102,0.101592,0.100804,0.715454
0.22384,0.89795,0.100352,0.100979,0.713972
